file,model,receiver_time,ece_10_bin,bin_low,bin_high,count,mean_confidence,empirical_frequency
seed42_round100_task_vs_daps_1000.json,A,opponent_after,0.005579341578394635,0.8,0.9,1228,0.8462735642633531,0.7353420195439739
seed42_round100_task_vs_daps_1000.json,A,opponent_after,0.005579341578394635,0.9,1.0,794,0.9486625427262909,0.845088161209068
seed42_round100_task_vs_daps_1000.json,B,partner_before,0.011816529917551432,0.0,0.1,246372,0.015509767014113957,0.025209845274625362
seed42_round100_task_vs_daps_1000.json,B,partner_before,0.011816529917551432,0.1,0.2,50083,0.15044272419024995,0.16249026615817744
seed42_round100_task_vs_daps_1000.json,B,partner_before,0.011816529917551432,0.2,0.30000000000000004,71804,0.25516135059681005,0.2646927747757785
seed42_round100_task_vs_daps_1000.json,B,partner_before,0.011816529917551432,0.30000000000000004,0.4,87622,0.3428630842152859,0.336730501472233
seed42_round100_task_vs_daps_1000.json,B,partner_before,0.011816529917551432,0.4,0.5,25514,0.441021541527019,0.4086383946068825
seed42_round100_task_vs_daps_1000.json,B,partner_before,0.011816529917551432,0.5,0.6000000000000001,9687,0.5437314951150326,0.5092391865386601
seed42_round100_task_vs_daps_1000.json,B,partner_before,0.011816529917551432,0.6000000000000001,0.7000000000000001,4209,0.6428814016319732,0.5813732478023284
seed42_round100_task_vs_daps_1000.json,B,partner_before,0.011816529917551432,0.7000000000000001,0.8,1910,0.7422802847717445,0.669109947643979
seed42_round100_task_vs_daps_1000.json,B,partner_before,0.011816529917551432,0.8,0.9,859,0.843967988965675,0.7729918509895227
seed42_round100_task_vs_daps_1000.json,B,partner_before,0.011816529917551432,0.9,1.0,516,0.9448210816512737,0.8352713178294574
seed42_round100_task_vs_daps_1000.json,B,partner_after,0.007804188787311951,0.0,0.1,250808,0.013794940022899865,0.018962712513157474
seed42_round100_task_vs_daps_1000.json,B,partner_after,0.007804188787311951,0.1,0.2,46833,0.1502950493864136,0.15576623321162428
seed42_round100_task_vs_daps_1000.json,B,partner_after,0.007804188787311951,0.2,0.30000000000000004,65382,0.25522076890388995,0.25247009880395216
seed42_round100_task_vs_daps_1000.json,B,partner_after,0.007804188787311951,0.30000000000000004,0.4,80166,0.3435144438070829,0.3339445650275678
seed42_round100_task_vs_daps_1000.json,B,partner_after,0.007804188787311951,0.4,0.5,30050,0.44244132498635624,0.42472545757071545
seed42_round100_task_vs_daps_1000.json,B,partner_after,0.007804188787311951,0.5,0.6000000000000001,13529,0.544307316421925,0.5215463079311109
seed42_round100_task_vs_daps_1000.json,B,partner_after,0.007804188787311951,0.6000000000000001,0.7000000000000001,6433,0.6435997578491046,0.6110679309808799
seed42_round100_task_vs_daps_1000.json,B,partner_after,0.007804188787311951,0.7000000000000001,0.8,3135,0.743640074015044,0.6851674641148325
seed42_round100_task_vs_daps_1000.json,B,partner_after,0.007804188787311951,0.8,0.9,1477,0.8446873410295294,0.7826675693974272
seed42_round100_task_vs_daps_1000.json,B,partner_after,0.007804188787311951,0.9,1.0,763,0.9477323756149212,0.8597640891218873
seed42_round100_task_vs_daps_1000.json,B,opponent_before,0.013297589371698492,0.0,0.1,244654,0.01626637928016531,0.02534599883917696
seed42_round100_task_vs_daps_1000.json,B,opponent_before,0.013297589371698492,0.1,0.2,56577,0.15138117487870056,0.17607861851989323
seed42_round100_task_vs_daps_1000.json,B,opponent_before,0.013297589371698492,0.2,0.30000000000000004,78002,0.25365754562053483,0.2735699084638855
seed42_round100_task_vs_daps_1000.json,B,opponent_before,0.013297589371698492,0.30000000000000004,0.4,82798,0.3423959644247551,0.3392594024010242
